window_seed,algorithm,steps,hits,hit_rate,time_sec,gt_top_channel,gt_top_prop
42,Random,15000,243,0.0162,0.7002045000008366,17,0.4788
42,Sequential,15000,235,0.015666666666666666,0.7042524999997113,17,0.4788
42,Epsilon-Greedy,15000,6529,0.4352666666666667,0.7304583000004641,17,0.4788
42,UCB1,15000,9063,0.6042,0.8889621000016632,17,0.4788
42,SW-UCB,15000,10473,0.6982,1.342219699999987,17,0.4788
123,Random,15000,228,0.0152,0.6927442999985942,17,0.5274
123,Sequential,15000,234,0.0156,0.5848347999999532,17,0.5274
123,Epsilon-Greedy,15000,7066,0.4710666666666667,0.6773078000005626,17,0.5274
123,UCB1,15000,8568,0.5712,0.9694645999989007,17,0.5274
123,SW-UCB,15000,9261,0.6174,1.5373924000014085,17,0.5274
456,Random,15000,236,0.015733333333333332,0.7762335000006715,11,0.2860666666666667
456,Sequential,15000,215,0.014333333333333333,0.5821515999996336,11,0.2860666666666667
456,Epsilon-Greedy,15000,2057,0.13713333333333333,0.7034994999994524,11,0.2860666666666667
456,UCB1,15000,5437,0.36246666666666666,0.8975256999983685,11,0.2860666666666667
456,SW-UCB,15000,6927,0.4618,1.538493700001709,11,0.2860666666666667
789,Random,15000,225,0.015,0.7811879000000772,11,0.22373333333333334
789,Sequential,15000,252,0.0168,0.6464330999988306,11,0.22373333333333334
789,Epsilon-Greedy,15000,2416,0.16106666666666666,0.7052163000007567,11,0.22373333333333334
789,UCB1,15000,4519,0.3012666666666667,0.8774301000012201,11,0.22373333333333334
789,SW-UCB,15000,7047,0.4698,1.5897752000018954,11,0.22373333333333334
999,Random,15000,226,0.015066666666666667,0.7413148999985424,11,0.25293333333333334
999,Sequential,15000,231,0.0154,0.5866074000005028,11,0.25293333333333334
999,Epsilon-Greedy,15000,3351,0.2234,0.6723308999971778,11,0.25293333333333334
999,UCB1,15000,6091,0.4060666666666667,0.8903701999988698,11,0.25293333333333334
999,SW-UCB,15000,8274,0.5516,1.8193523000009009,11,0.25293333333333334
