episode_seed,total_steps,total_pulses,intercepted_count,interception_rate,wasted_dwells,dwell_waste_ratio,retuning_distance,total_reward,tier1_steps,tier2_steps,policy
42,500,500,8,1.6,0,0.0,933.0,-360.61999999999983,0,0,Sweeper
43,500,500,7,1.4000000000000001,0,0.0,933.0,-348.07000000000016,0,0,Sweeper
44,500,500,7,1.4000000000000001,0,0.0,933.0,-372.1999999999998,0,0,Sweeper
45,500,500,6,1.2,0,0.0,933.0,-376.84999999999997,0,0,Sweeper
46,500,500,11,2.1999999999999997,0,0.0,933.0,-345.70999999999987,0,0,Sweeper
47,500,500,8,1.6,0,0.0,933.0,-361.82000000000016,0,0,Sweeper
48,500,500,8,1.6,0,0.0,933.0,-357.5499999999999,0,0,Sweeper
49,500,500,8,1.6,0,0.0,933.0,-369.16999999999996,0,0,Sweeper
50,500,500,0,0.0,0,0.0,933.0,-414.37,0,0,Sweeper
51,500,500,12,2.4,0,0.0,933.0,-354.5100000000001,0,0,Sweeper
52,500,500,8,1.6,0,0.0,933.0,-373.7,0,0,Sweeper
53,500,500,6,1.2,0,0.0,933.0,-360.78000000000003,0,0,Sweeper
54,500,500,8,1.6,0,0.0,933.0,-370.8800000000002,0,0,Sweeper
55,500,500,7,1.4000000000000001,0,0.0,933.0,-369.21000000000015,0,0,Sweeper
56,500,500,0,0.0,0,0.0,933.0,-378.42000000000013,0,0,Sweeper
57,500,500,14,2.8000000000000003,0,0.0,933.0,-368.23,0,0,Sweeper
58,500,500,8,1.6,0,0.0,933.0,-348.8199999999999,0,0,Sweeper
59,500,500,8,1.6,0,0.0,933.0,-386.57999999999987,0,0,Sweeper
60,500,500,6,1.2,0,0.0,933.0,-366.1600000000003,0,0,Sweeper
61,500,500,9,1.7999999999999998,0,0.0,933.0,-357.41999999999996,0,0,Sweeper
62,500,500,6,1.2,0,0.0,933.0,-375.70999999999975,0,0,Sweeper
63,500,500,6,1.2,0,0.0,933.0,-374.5499999999999,0,0,Sweeper
64,500,500,6,1.2,0,0.0,933.0,-351.54000000000013,0,0,Sweeper
65,500,500,5,1.0,0,0.0,933.0,-369.11999999999995,0,0,Sweeper
66,500,500,7,1.4000000000000001,0,0.0,933.0,-371.59,0,0,Sweeper
67,500,500,6,1.2,0,0.0,933.0,-411.58,0,0,Sweeper
68,500,500,8,1.6,0,0.0,933.0,-378.8300000000001,0,0,Sweeper
69,500,500,5,1.0,0,0.0,933.0,-378.50999999999976,0,0,Sweeper
70,500,500,8,1.6,0,0.0,933.0,-360.91000000000014,0,0,Sweeper
71,500,500,7,1.4000000000000001,0,0.0,933.0,-363.6099999999998,0,0,Sweeper
72,500,500,8,1.6,0,0.0,933.0,-362.5600000000001,0,0,Sweeper
73,500,500,8,1.6,0,0.0,933.0,-366.29000000000013,0,0,Sweeper
74,500,500,5,1.0,0,0.0,933.0,-372.3500000000001,0,0,Sweeper
75,500,500,9,1.7999999999999998,0,0.0,933.0,-369.70000000000005,0,0,Sweeper
76,500,500,7,1.4000000000000001,0,0.0,933.0,-387.59000000000015,0,0,Sweeper
77,500,500,14,2.8000000000000003,0,0.0,933.0,-370.90000000000003,0,0,Sweeper
78,500,500,8,1.6,0,0.0,933.0,-346.2899999999999,0,0,Sweeper
79,500,500,8,1.6,0,0.0,933.0,-368.5400000000002,0,0,Sweeper
80,500,500,9,1.7999999999999998,0,0.0,933.0,-357.5399999999999,0,0,Sweeper
81,500,500,1,0.2,0,0.0,933.0,-387.7700000000002,0,0,Sweeper
82,500,500,8,1.6,0,0.0,933.0,-366.7799999999998,0,0,Sweeper
83,500,500,6,1.2,0,0.0,933.0,-358.2699999999999,0,0,Sweeper
84,500,500,7,1.4000000000000001,0,0.0,933.0,-364.1099999999999,0,0,Sweeper
85,500,500,8,1.6,0,0.0,933.0,-366.06999999999994,0,0,Sweeper
86,500,500,8,1.6,0,0.0,933.0,-365.83000000000004,0,0,Sweeper
87,500,500,6,1.2,0,0.0,933.0,-375.5999999999997,0,0,Sweeper
88,500,500,8,1.6,0,0.0,933.0,-359.64000000000004,0,0,Sweeper
89,500,500,9,1.7999999999999998,0,0.0,933.0,-361.3499999999998,0,0,Sweeper
90,500,500,6,1.2,0,0.0,933.0,-367.2900000000001,0,0,Sweeper
91,500,500,7,1.4000000000000001,0,0.0,933.0,-346.28000000000003,0,0,Sweeper
92,500,500,6,1.2,0,0.0,933.0,-374.9199999999998,0,0,Sweeper
93,500,500,7,1.4000000000000001,0,0.0,933.0,-367.33999999999975,0,0,Sweeper
94,500,500,9,1.7999999999999998,0,0.0,933.0,-370.54999999999984,0,0,Sweeper
95,500,500,5,1.0,0,0.0,933.0,-377.15000000000026,0,0,Sweeper
96,500,500,7,1.4000000000000001,0,0.0,933.0,-366.37999999999994,0,0,Sweeper
97,500,500,0,0.0,0,0.0,933.0,-375.5700000000001,0,0,Sweeper
98,500,500,7,1.4000000000000001,0,0.0,933.0,-392.22000000000014,0,0,Sweeper
